	stId
722	R-HSA-5173214
723	R-HSA-190861
724	R-HSA-5654727
725	R-HSA-901042
726	R-HSA-392154
727	R-HSA-202131
728	R-HSA-159230
729	R-HSA-390471
730	R-HSA-5696394
731	R-HSA-167287
732	R-HSA-167290
733	R-HSA-390522
734	R-HSA-168638
735	R-HSA-170822
736	R-HSA-163359
737	R-HSA-2022928
738	R-HSA-4090294
739	R-HSA-114508
740	R-HSA-8868766
741	R-HSA-1482788
742	R-HSA-5576893
743	R-HSA-1236382
744	R-HSA-5637815
745	R-HSA-8964539
746	R-HSA-1461957
747	R-HSA-4085377
748	R-HSA-159227
749	R-HSA-8939243
750	R-HSA-176187
751	R-HSA-5685938
752	R-HSA-9022692
753	R-HSA-167243
754	R-HSA-167238
755	R-HSA-6804758
756	R-HSA-4791275
757	R-HSA-354192
758	R-HSA-389356
759	R-HSA-397795
760	R-HSA-917977
761	R-HSA-9668328
762	R-HSA-2173796
763	R-HSA-5654726
764	R-HSA-399721
765	R-HSA-445989
766	R-HSA-5357905
767	R-HSA-442742
768	R-HSA-5083635
769	R-HSA-9619665
770	R-HSA-1855204
771	R-HSA-5365859
772	R-HSA-110330
773	R-HSA-3781860
774	R-HSA-9037629
775	R-HSA-549127
776	R-HSA-2408508
777	R-HSA-2129379
778	R-HSA-111465
779	R-HSA-69190
780	R-HSA-1980145
781	R-HSA-1538133
782	R-HSA-1296065
783	R-HSA-5668599
784	R-HSA-390247
785	R-HSA-186763
786	R-HSA-5673000
787	R-HSA-167158
788	R-HSA-113418
789	R-HSA-5694530
790	R-HSA-389958
791	R-HSA-399719
792	R-HSA-182971
793	R-HSA-5693537
794	R-HSA-162588
795	R-HSA-2022854
796	R-HSA-140875
797	R-HSA-189483
798	R-HSA-159418
799	R-HSA-203615
800	R-HSA-1474151
801	R-HSA-8963693
802	R-HSA-76046
803	R-HSA-5619107
804	R-HSA-936440
805	R-HSA-68962
806	R-HSA-380972
807	R-HSA-2173789
808	R-HSA-2424491
809	R-HSA-5626467
810	R-HSA-9013508
811	R-HSA-114452
812	R-HSA-9008059
813	R-HSA-8863795
814	R-HSA-5693568
815	R-HSA-1250196
816	R-HSA-5654716
817	R-HSA-5223345
818	R-HSA-5334118
819	R-HSA-888590
820	R-HSA-162710
821	R-HSA-2206281
822	R-HSA-418990
823	R-HSA-1592389
824	R-HSA-450282
825	R-HSA-9615710
826	R-HSA-456926
827	R-HSA-5656169
828	R-HSA-917729
829	R-HSA-72086
830	R-HSA-9006335
831	R-HSA-180024
832	R-HSA-5654733
833	R-HSA-418360
834	R-HSA-5654708
835	R-HSA-9665686
836	R-HSA-420092
837	R-HSA-199220
838	R-HSA-210745
839	R-HSA-9018683
840	R-HSA-451326
841	R-HSA-9619483
842	R-HSA-380994
843	R-HSA-5260271
844	R-HSA-5602358
845	R-HSA-5654732
846	R-HSA-8940973
847	R-HSA-5654700
848	R-HSA-73728
849	R-HSA-171306
850	R-HSA-193807
851	R-HSA-2393930
852	R-HSA-73614
853	R-HSA-2161522
854	R-HSA-8866652
855	R-HSA-73863
856	R-HSA-4641262
857	R-HSA-3928663
858	R-HSA-140837
859	R-HSA-9006115
860	R-HSA-6803204
861	R-HSA-425410
862	R-HSA-445095
863	R-HSA-5654699
864	R-HSA-622312
865	R-HSA-901032
866	R-HSA-1483213
867	R-HSA-83936
868	R-HSA-75109
869	R-HSA-8850843
870	R-HSA-9018679
871	R-HSA-9615933
872	R-HSA-8874081
873	R-HSA-9645723
874	R-HSA-110373
875	R-HSA-400042
876	R-HSA-5674400
877	R-HSA-2122948
878	R-HSA-525793
879	R-HSA-9022699
880	R-HSA-69273
881	R-HSA-5689901
882	R-HSA-210500
883	R-HSA-8934593
884	R-HSA-1660514
885	R-HSA-1855183
886	R-HSA-70635
887	R-HSA-9637687
888	R-HSA-2142789
889	R-HSA-2046105
890	R-HSA-8949613
891	R-HSA-3000157
892	R-HSA-9620244
893	R-HSA-3214842
894	R-HSA-1971475
895	R-HSA-997272
896	R-HSA-1296041
897	R-HSA-1296059
898	R-HSA-203927
899	R-HSA-5205647
900	R-HSA-5218921
901	R-HSA-5654693
902	R-HSA-1266695
903	R-HSA-5686938
904	R-HSA-1482801
905	R-HSA-1660516
906	R-HSA-204174
907	R-HSA-5654695
908	R-HSA-5601884
909	R-HSA-3296469
910	R-HSA-389887
911	R-HSA-9675143
912	R-HSA-2474795
913	R-HSA-2453864
914	R-HSA-1187000
915	R-HSA-389599
916	R-HSA-9025094
917	R-HSA-110314
918	R-HSA-5357956
919	R-HSA-6783589
920	R-HSA-8863678
921	R-HSA-8862803
922	R-HSA-400685
923	R-HSA-202040
924	R-HSA-389960
925	R-HSA-5621575
926	R-HSA-264876
927	R-HSA-5654688
928	R-HSA-5693554
929	R-HSA-8963889
930	R-HSA-8963898
931	R-HSA-201451
932	R-HSA-392170
933	R-HSA-3295583
934	R-HSA-420029
935	R-HSA-181430
936	R-HSA-5669034
937	R-HSA-70921
938	R-HSA-211999
939	R-HSA-164952
940	R-HSA-3000170
941	R-HSA-389957
942	R-HSA-9634638
943	R-HSA-167160
944	R-HSA-77075
945	R-HSA-933542
946	R-HSA-428930
947	R-HSA-392451
948	R-HSA-982772
949	R-HSA-418592
950	R-HSA-912526
951	R-HSA-1369062
952	R-HSA-8854691
953	R-HSA-9648895
954	R-HSA-8943723
955	R-HSA-2024101
956	R-HSA-211935
957	R-HSA-1855167
958	R-HSA-2033519
959	R-HSA-446210
960	R-HSA-9018682
961	R-HSA-9027604
962	R-HSA-444209
963	R-HSA-350054
964	R-HSA-76061
965	R-HSA-76071
966	R-HSA-75067
967	R-HSA-6803529
968	R-HSA-429947
969	R-HSA-2173788
970	R-HSA-9013507
971	R-HSA-112409
972	R-HSA-8964038
973	R-HSA-77387
974	R-HSA-212676
975	R-HSA-3238698
976	R-HSA-5654689
977	R-HSA-189200
978	R-HSA-5654712
979	R-HSA-438066
980	R-HSA-6804115
981	R-HSA-5213460
982	R-HSA-5218859
983	R-HSA-6803205
984	R-HSA-977068
985	R-HSA-200425
986	R-HSA-71384
987	R-HSA-418038
988	R-HSA-912694
989	R-HSA-74182
990	R-HSA-975578
991	R-HSA-879518
992	R-HSA-2161541
993	R-HSA-168799
994	R-HSA-5662702
995	R-HSA-76066
996	R-HSA-8949215
997	R-HSA-166208
998	R-HSA-167242
999	R-HSA-5696397
1000	R-HSA-5627123
1001	R-HSA-2995383
1002	R-HSA-2173795
1003	R-HSA-450302
1004	R-HSA-9617324
1005	R-HSA-442982
1006	R-HSA-9034015
1007	R-HSA-9617828
1008	R-HSA-9665348
1009	R-HSA-8876384
1010	R-HSA-5654719
1011	R-HSA-5637810
1012	R-HSA-5637812
1013	R-HSA-5654706
1014	R-HSA-171319
1015	R-HSA-174414
1016	R-HSA-175474
1017	R-HSA-211958
1018	R-HSA-400451
1019	R-HSA-2033514
1020	R-HSA-947581
1021	R-HSA-193048
1022	R-HSA-5652084
1023	R-HSA-8964208
1024	R-HSA-194002
1025	R-HSA-9018676
1026	R-HSA-209968
1027	R-HSA-210991
1028	R-HSA-198753
1029	R-HSA-69186
1030	R-HSA-9013695
1031	R-HSA-1839117
1032	R-HSA-167044
1033	R-HSA-389357
1034	R-HSA-450321
1035	R-HSA-111931
1036	R-HSA-5654704
1037	R-HSA-70221
