Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
CUSTOM140674733480768	Activation of Matrix Metalloproteinases	29/33			MMP14;FURIN;PLG;MMP10;KLKB1;MMP3;MMP24;CTRB1;MMP13;CMA1;COL18A1;MMP7;TPSAB1;PRSS1;MMP11;MMP15;CTSV;PRSS2;ELANE;MMP8;MMP2;SPOCK3;CTSG;TIMP2;MMP1;MMP9;MMP25;CTSK;TIMP1
CUSTOM140674733480768	Activation of NF-kappaB in B cells	65/67			PSMB2;PSMB9;PSMD12;NFKBIE;PSMD11;PSMD8;PSMC1;RPS27A;PSMA4;PSMA5;PSMA7;CUL1;PSMD10;PSMB4;PSMA1;PSMD6;MAP3K7;NFKBIA;PSMB3;RELA;PSMB10;FBXW11;PSMA6;IKBKB;PSMC6;PSMC3;PSME2;PSMD9;REL;PSMD4;PSMD5;PSMC4;PRKCB;BTRC;PSMA2;PSMB11;SKP1;PSMD1;PSMD14;PSMD3;UBB;PSMC2;PSMD7;PSME4;PSMB1;PSMB8;PSME1;UBA52;MALT1;CARD11;PSMA8;PSMA3;PSMC5;PSMB6;CHUK;PSMD2;PSMF1;IKBKG;PSMB7;PSME3;PSMB5;BCL10;NFKB1;PSMD13;NFKBIB
CUSTOM140674733480768	Activation of NIMA Kinases NEK9, NEK6, NEK7	7/7			CCNB1;NEK6;NEK7;CCNB2;PLK1;CDK1;NEK9
CUSTOM140674733480768	Activation of NMDA receptors and postsynaptic events	70/75			ERBB4;PRKAR1A;CASK;DLG3;DLG2;ADCY1;DLG1;KPNA2;RPS6KA3;GRIN2A;PRKACA;MAPT;PRKAG2;PRKAR1B;PDPK1;MAPK1;DLG4;PRKAA2;PRKAR2A;RASGRF2;CALM1;CAMKK1;KRAS;NRG1;CAMK4;GRIN2B;NRAS;MAPK3;PRKAA1;PPM1F;CAMK1;RPS6KA6;LIN7B;SRC;NEFL;PRKAB1;PRKACB;PRKX;RPS6KA1;PRKAB2;LRRC7;HRAS;NBEA;CAMK2A;GRIA4;CAMK2B;GRIN1;LIN7A;PPM1E;CREB1;PRKACG;PRKAG1;APBA1;KIF17;LIN7C;ACTN2;ADCY8;CAMK2D;RPS6KA2;GRIA1;ARHGEF7;NRGN;PRKAR2B;RAC1;CAMKK2;GIT1;CAMK2G;GRIA3;GRIA2;RASGRF1
CUSTOM140674733480768	Activation of NOXA and translocation to mitochondria	3/5			TFDP1;TP53;TFDP2
CUSTOM140674733480768	Activation of Na-permeable kainate receptors	1/2			GRIK2
CUSTOM140674733480768	Activation of PPARGC1A (PGC-1alpha) by phosphorylation	8/10			PRKAA2;PRKAB1;MAPK11;MAPK12;PRKAB2;PRKAG2;PRKAG1;MAPK14
CUSTOM140674733480768	Activation of PUMA and translocation to mitochondria	8/9			TP63;PPP1R13B;TP73;TFDP2;BBC3;TFDP1;TP53;TP53BP2
CUSTOM140674733480768	Activation of RAC1	12/13			SOS1;NCK2;PAK3;PAK2;PAK5;RAC1;SLIT2;ROBO1;NCK1;PAK4;SOS2;PAK1
CUSTOM140674733480768	Activation of RAC1 downstream of NMDARs	7/7			CALM1;CAMKK1;RAC1;CAMK1;CAMKK2;GIT1;ARHGEF7
CUSTOM140674733480768	Activation of RAS in B cells	5/5			KRAS;HRAS;NRAS;RASGRP1;RASGRP3
CUSTOM140674733480768	Activation of SMO	13/18			SHH;EVC2;GAS8;KIF3A;ARRB1;ARRB2;EFCAB7;GRK2;CSNK1A1;GAS1;IQCE;SMO;PTCH1
CUSTOM140674733480768	Activation of TRKA receptors	2/6			ADCYAP1;NTRK2
