	pathway_id	cancer_type	mean_expr	url	name	pathway_times_enriched	pathway_avg_rank	entities_pValue	entities_fdr	cancer_rank_pval
69	R-HSA-72203	lscc	0.6866359447004609	https://reactome.org/PathwayBrowser/#/R-HSA-72203&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTlfMjgw	Processing of Capped Intron-Containing Pre-mRNA	8	18.5	0.08766713803877613	0.8726502026225027	10.0
70	R-HSA-72203	luad	0.5473684210526316	https://reactome.org/PathwayBrowser/#/R-HSA-72203&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjNfMjgx	Processing of Capped Intron-Containing Pre-mRNA	8	18.5	0.2671710820364974	0.8489584258572173	118.0
71	R-HSA-72203	ovarian	0.7230769230769231	https://reactome.org/PathwayBrowser/#/R-HSA-72203&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjZfMjgy	Processing of Capped Intron-Containing Pre-mRNA	8	18.5	0.00174021894855092	0.7803251322975149	3.0
72	R-HSA-1799339	ccrcc	0.7058823529411765	https://reactome.org/PathwayBrowser/#/R-HSA-1799339&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDNfMjc1	SRP-dependent cotranslational protein targeting to membrane	8	20.5	0.13558236964729908	0.8426403962485929	43.0
73	R-HSA-1799339	colon	0.8666666666666667	https://reactome.org/PathwayBrowser/#/R-HSA-1799339&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDZfMjc2	SRP-dependent cotranslational protein targeting to membrane	8	20.5	0.00013242524518985999	0.02580881972706428	8.0
74	R-HSA-1799339	endometrial	0.8095238095238095	https://reactome.org/PathwayBrowser/#/R-HSA-1799339&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDlfMjc3	SRP-dependent cotranslational protein targeting to membrane	8	20.5	0.08240169735165126	0.8219205345749762	19.0
75	R-HSA-1799339	gbm	0.92	https://reactome.org/PathwayBrowser/#/R-HSA-1799339&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTNfMjc4	SRP-dependent cotranslational protein targeting to membrane	8	20.5	0.07062429981548013	0.803797666027487	10.0
76	R-HSA-1799339	hnscc	0.3469387755102041	https://reactome.org/PathwayBrowser/#/R-HSA-1799339&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTZfMjc5	SRP-dependent cotranslational protein targeting to membrane	8	20.5	0.19594641797725176	0.83292086846573	61.0
77	R-HSA-1799339	lscc	0.7669902912621359	https://reactome.org/PathwayBrowser/#/R-HSA-1799339&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTlfMjgw	SRP-dependent cotranslational protein targeting to membrane	8	20.5	0.09026405528177506	0.8726502026225027	11.0
78	R-HSA-1799339	luad	0.7547169811320755	https://reactome.org/PathwayBrowser/#/R-HSA-1799339&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjNfMjgx	SRP-dependent cotranslational protein targeting to membrane	8	20.5	0.03638498735189821	0.8489584258572173	3.0
79	R-HSA-1799339	ovarian	0.9029126213592233	https://reactome.org/PathwayBrowser/#/R-HSA-1799339&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjZfMjgy	SRP-dependent cotranslational protein targeting to membrane	8	20.5	0.018180480965644508	0.7803251322975149	9.0
